Pos	distance
3471	881
5169	1698
6192	1023
6747	555
7517	770
7870	353
9436	1566
9590	154
12010	2420
12402	392
15750	3348
17946	2196
21562	3616
22582	1020
23050	468
23205	155
23609	404
24264	655
26214	1950
27647	1433
28470	823
29409	939
30768	1359
30932	164
31189	257
34224	3035
34552	328
35400	848
35544	144
38781	3237
43893	5112
45081	1188
47367	2286
47433	66
50356	2923
50561	205
54446	3885
55084	638
56366	1282
60145	3779
61746	1601
64461	2715
64695	234
70988	6293
73519	2531
76709	3190
77680	971
82186	4506
85465	3279
86514	1049
87247	733
90743	3496
90860	117
91532	672
92162	630
92227	65
94536	2309
97128	2592
98863	1735
99821	958
101069	1248
101368	299
101967	599
102250	283
103096	846
103244	148
103988	744
104972	984
105552	580
106712	1160
107704	992
108278	574
109594	1316
110707	1113
111380	673
111381	1
112482	1101
112625	143
113583	958
114319	736
114654	335
115704	1050
118404	2700
119749	1345
119759	10
121889	2130
125055	3166
125387	332
126215	828
127061	846
128514	1453
128524	10
132817	4293
140459	7642
141188	729
141850	662
141901	51
143718	1817
143934	216
145295	1361
145666	371
146664	998
147848	1184
152899	5051
156641	3742
158293	1652
158343	50
158611	268
158614	3
159338	724
160480	1142
160982	502
161145	163
164015	2870
164499	484
168047	3548
168060	13
170187	2127
170337	150
172454	2117
180151	7697
181958	1807
182887	929
184977	2090
186482	1505
187418	936
191549	4131
192702	1153
193480	778
195840	2360
197138	1298
197249	111
197517	268
197688	171
198069	381
201106	3037
206114	5008
206664	550
207503	839
208368	865
210235	1867
210254	19
210529	275
210830	301
213341	2511
213700	359
216050	2350
216627	577
217212	585
217490	278
218445	955
222954	4509
223183	229
223425	242
224761	1336
224897	136
226843	1946
229959	3116
233078	3119
236259	3181
241086	4827
241934	848
242322	388
242710	388
244639	1929
245137	498
245293	156
245299	6
247012	1713
248761	1749
249421	660
249688	267
249763	75
250023	260
252743	2720
253326	583
253616	290
255156	1540
256709	1553
257711	1002
258034	323
261320	3286
261973	653
262889	916
265852	2963
266292	440
266785	493
268008	1223
270585	2577
270759	174
274213	3454
275219	1006
275763	544
277205	1442
277479	274
279475	1996
279822	347
284829	5007
286518	1689
287676	1158
288594	918
289003	409
289030	27
291721	2691
293672	1951
293731	59
293901	170
298292	4391
301367	3075
301723	356
301987	264
302603	616
304525	1922
305537	1012
307301	1764
309088	1787
311410	2322
311584	174
311754	170
312043	289
314558	2515
314623	65
319136	4513
320739	1603
321753	1014
322533	780
323440	907
323960	520
324543	583
327503	2960
328123	620
328835	712
331097	2262
332407	1310
332457	50
332771	314
334085	1314
341311	7226
341619	308
341921	302
342311	390
344866	2555
345018	152
346007	989
347529	1522
347902	373
349005	1103
349721	716
353538	3817
358129	4591
360862	2733
360876	14
361215	339
361696	481
362574	878
363238	664
365107	1869
365357	250
365469	112
365627	158
366760	1133
367085	325
369116	2031
370757	1641
371719	962
375878	4159
378551	2673
383727	5176
383996	269
384612	616
387947	3335
388253	306
388530	277
391040	2510
392258	1218
393105	847
397427	4322
397898	471
398344	446
398724	380
398940	216
401402	2462
402159	757
403377	1218
405985	2608
406928	943
409029	2101
410848	1819
413078	2230
413091	13
413583	492
413687	104
415809	2122
417494	1685
417595	101
423095	5500
425006	1911
425862	856
427401	1539
427827	426
428128	301
428797	669
429884	1087
430773	889
431418	645
432070	652
433656	1586
434187	531
437088	2901
442079	4991
443128	1049
443489	361
444377	888
448450	4073
449587	1137
449786	199
450293	507
457373	7080
458114	741
458467	353
459881	1414
463814	3933
473076	9262
474024	948
475533	1509
481589	6056
483610	2021
483644	34
485642	1998
488066	2424
488531	465
489868	1337
492333	2465
493594	1261
493997	403
494177	180
495401	1224
495509	108
496887	1378
497073	186
498167	1094
498738	571
499531	793
501387	1856
501922	535
503179	1257
503394	215
503396	2
503485	89
503489	4
503508	19
503515	7
503760	245
506161	2401
506995	834
507545	550
508290	745
508559	269
509852	1293
511599	1747
511729	130
512075	346
512794	719
514264	1470
515968	1704
516054	86
516262	208
517990	1728
517996	6
518361	365
519102	741
521347	2245
522995	1648
523165	170
531441	8276
532053	612
533055	1002
534154	1099
534480	326
535771	1291
536217	446
537448	1231
538532	1084
538639	107
539213	574
543435	4222
549077	5642
549934	857
550683	749
551312	629
555697	4385
555719	22
556701	982
557620	919
557713	93
558821	1108
559541	720
560216	675
560781	565
561348	567
563574	2226
563831	257
566460	2629
566758	298
567379	621
569223	1844
572135	2912
573260	1125
577802	4542
577939	137
578340	401
584382	6042
586369	1987
587249	880
588418	1169
588814	396
589031	217
589770	739
590496	726
591395	899
591418	23
592341	923
595749	3408
596192	443
597754	1562
597989	235
599733	1744
600312	579
600549	237
600912	363
603439	2527
603957	518
606828	2871
608749	1921
608859	110
610190	1331
610222	32
612742	2520
612857	115
613154	297
614729	1575
614916	187
615000	84
616149	1149
617433	1284
618447	1014
619232	785
619356	124
620489	1133
620522	33
620569	47
620642	73
621200	558
627161	5961
627166	5
627637	471
629228	1591
633324	4096
635123	1799
636105	982
637273	1168
640300	3027
641345	1045
642388	1043
642510	122
643006	496
645829	2823
648688	2859
648986	298
651455	2469
651509	54
655879	4370
656347	468
656863	516
660855	3992
661115	260
661517	402
662607	1090
663643	1036
664315	672
665019	704
666318	1299
669628	3310
672751	3123
673045	294
674807	1762
675398	591
676531	1133
679753	3222
681721	1968
682926	1205
684321	1395
684503	182
685374	871
686354	980
686802	448
689065	2263
689624	559
691420	1796
691460	40
691632	172
692112	480
692936	824
694612	1676
696321	1709
698432	2111
700824	2392
701051	227
701118	67
701133	15
701435	302
701848	413
701865	17
702058	193
702678	620
703651	973
703971	320
704619	648
705554	935
706161	607
706224	63
708446	2222
708448	2
710159	1711
710651	492
710922	271
711955	1033
713284	1329
716214	2930
718420	2206
720093	1673
720264	171
720553	289
721126	573
721190	64
721303	113
721473	170
721511	38
721948	437
725201	3253
725726	525
726331	605
726460	129
728285	1825
729279	994
729595	316
730658	1063
730927	269
732340	1413
736345	4005
738470	2125
740312	1842
742943	2631
746268	3325
746842	574
750460	3618
751802	1342
752961	1159
754158	1197
756172	2014
758268	2096
759718	1450
760623	905
763003	2380
764963	1960
766824	1861
767947	1123
768664	717
768692	28
771181	2489
775779	4598
776152	373
776274	122
776324	50
776983	659
778820	1837
780527	1707
781232	705
782508	1276
790980	8472
791438	458
792224	786
792988	764
794274	1286
797584	3310
798082	498
799275	1193
799346	71
802022	2676
802201	179
805924	3723
807811	1887
809229	1418
809755	526
810618	863
810778	160
814030	3252
814060	30
814311	251
814660	349
814902	242
816994	2092
818101	1107
818650	549
819932	1282
820421	489
820821	400
821957	1136
822661	704
825216	2555
825434	218
826488	1054
827119	631
827300	181
828488	1188
829857	1369
830589	732
835004	4415
836863	1859
837969	1106
837972	3
838014	42
838547	533
838699	152
839964	1265
841138	1174
842629	1491
843577	948
844490	913
845571	1081
847877	2306
848483	606
850478	1995
851920	1442
854992	3072
857665	2673
858613	948
859506	893
859575	69
860456	881
861756	1300
863435	1679
867255	3820
868091	836
870161	2070
870936	775
871161	225
872533	1372
873645	1112
874233	588
875483	1250
875918	435
877657	1739
877751	94
879652	1901
881963	2311
882336	373
887493	5157
887636	143
888446	810
890599	2153
894011	3412
894072	61
895943	1871
896456	513
896501	45
896934	433
898070	1136
898661	591
900457	1796
900641	184
901096	455
901098	2
901582	484
901968	386
902412	444
905870	3458
906533	663
906974	441
907925	951
913340	5415
914736	1396
915016	280
915062	46
915593	531
917648	2055
918528	880
918781	253
919491	710
919976	485
920943	967
920995	52
924755	3760
925736	981
926080	344
927366	1286
928272	906
929137	865
930375	1238
932075	1700
934637	2562
935994	1357
937762	1768
939143	1381
939278	135
939461	183
939896	435
942581	2685
943947	1366
946899	2952
948252	1353
949961	1709
950474	513
954933	4459
955403	470
957030	1627
957504	474
958528	1024
958574	46
959253	679
960371	1118
962566	2195
962575	9
963108	533
964228	1120
964526	298
964867	341
965333	466
968318	2985
969268	950
969398	130
969400	2
970364	964
971412	1048
972088	676
973102	1014
973103	1
973211	108
974156	945
976895	2739
978421	1526
978983	562
980958	1975
981740	782
984754	3014
986899	2145
988363	1464
988724	361
988936	212
989420	484
990764	1344
992052	1288
993869	1817
997442	3573
997547	105
997553	6
998037	484
998558	521
1002261	3703
1002305	44
1005078	2773
1007301	2223
1008610	1309
1008823	213
1013763	4940
1014425	662
1015189	764
1016330	1141
1019359	3029
1020038	679
1020169	131
1021289	1120
1021925	636
1022072	147
1022584	512
1026306	3722
1026982	676
1027500	518
1027779	279
1028195	416
1028949	754
1029486	537
1030516	1030
1032476	1960
1034577	2101
1036371	1794
1036944	573
1038465	1521
1039375	910
1039546	171
1040776	1230
1041385	609
1042320	935
1042533	213
1044010	1477
1044555	545
1044898	343
1046094	1196
1046999	905
1047100	101
1050255	3155
1052782	2527
1053142	360
1055479	2337
